0.727735 +/- 0.00579192
1.14942 +/- 0.178301
0.203307 +/- 0.427045
1.45292 +/- 0.329095
0.0955014 +/- 0.0133023
2.79792 +/- 0.381788
1.77399 +/- 0.205875
2.50006 +/- 0.0801241
2.20696 +/- 0.0494729
2.09598 +/- 0.15291
1.9149 +/- 0.390531
0.882001 +/- 0.113938
1.13248 +/- 0.232897
0.0278454 +/- 0.42977
0.0387057 +/- 0.362274
2.55741 +/- 0.200815
0.160822 +/- 0.420001
0.590264 +/- 0.368498
0.432641 +/- 0.344285
2.18819 +/- 0.42389
0.550217 +/- 0.214897
1.40959 +/- 0.417526
1.35231 +/- 0.0411905
2.92224 +/- 0.167801
2.04201 +/- 0.0114678
0.693723 +/- 0.201558
0.29388 +/- 0.178626
2.38888 +/- 0.136053
2.3356 +/- 0.356252
1.46142 +/- 0.158691
1.80854 +/- 0.0104337
2.43334 +/- 0.152991
2.41833 +/- 0.118197
2.57945 +/- 0.408938
2.33183 +/- 0.29276
2.50556 +/- 0.413286
2.11627 +/- 0.031713
1.61057 +/- 0.41159
1.2542 +/- 0.180074
1.14485 +/- 0.359879
0.720187 +/- 0.312271
1.29484 +/- 0.0501771
0.67174 +/- 0.133123
0.734404 +/- 0.162125
2.42262 +/- 0.135337
2.32569 +/- 0.121834
2.98905 +/- 0.272133
1.80273 +/- 0.219076
2.50239 +/- 0.0857604
0.107943 +/- 0.313902
